City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Berlevag,NO,2021-10-23 00:59:18,70.8578,29.0864,274.16,63,100,8.21
67,Tianmen,CN,2021-10-23 00:59:18,30.6516,113.1603,287.15,57,3,2.11
68,Hermanus,ZA,2021-10-23 00:59:18,-34.4187,19.2345,286.37,87,100,12.07
69,Nikolskoye,RU,2021-10-23 00:59:19,59.7035,30.7861,280.3,74,100,5.74
70,Moron,AR,2021-10-23 00:59:19,-34.6534,-58.6198,288.69,91,100,3.13
71,Karratha,AU,2021-10-23 00:59:19,-20.7377,116.8463,306.44,19,14,8.71
72,Korla,CN,2021-10-23 00:59:20,41.7597,86.1469,285.73,27,100,4.14
73,Poum,NC,2021-10-23 00:59:20,-20.2333,164.0167,297.08,75,0,6.08
74,Bachaquero,VE,2021-10-23 00:59:20,9.9694,-71.1494,300.3,78,19,2.83
75,Port Alfred,ZA,2021-10-23 00:59:21,-33.5906,26.891,289.49,85,2,4.42
76,Port Macquarie,AU,2021-10-23 00:59:21,-31.4333,152.9167,301.42,62,0,4.83
77,Luganville,VU,2021-10-23 00:59:21,-15.5333,167.1667,301.36,74,78,2.54
78,Kaeo,NZ,2021-10-23 00:59:22,-35.1,173.7833,288.33,97,100,8.33
79,Bethel,US,2021-10-23 00:59:22,41.3712,-73.414,289.39,75,100,2.58
80,Upernavik,GL,2021-10-23 00:59:22,72.7868,-56.1549,267.14,77,100,2.59
81,Ponta Do Sol,PT,2021-10-23 00:59:23,32.6667,-17.1,293.5,68,49,3.46
82,Klaksvik,FO,2021-10-23 00:59:23,62.2266,-6.589,280.66,75,100,11.05
83,Lebu,CL,2021-10-23 00:59:24,-37.6167,-73.65,283.53,65,61,7.77
84,Natal,BR,2021-10-23 00:59:24,-5.795,-35.2094,300.51,83,40,4.12
85,Kavieng,PG,2021-10-23 00:59:24,-2.5744,150.7967,302.48,67,11,6.24
86,Butaritari,KI,2021-10-23 00:59:25,3.0707,172.7902,301.0,78,71,8.28
87,Qui Nhon,VN,2021-10-23 00:59:25,13.7667,109.2333,298.37,92,100,3.48
88,Saint-Augustin,CA,2021-10-23 00:59:26,51.226,-58.6502,279.54,68,100,3.47
89,Byron Bay,AU,2021-10-23 00:59:26,-28.65,153.6167,302.62,63,0,5.13
90,Mount Gambier,AU,2021-10-23 00:59:26,-37.8333,140.7667,287.1,72,40,3.6
91,Havre-Saint-Pierre,CA,2021-10-23 00:59:27,50.2334,-63.5986,283.48,93,90,6.17
92,Mar Del Plata,AR,2021-10-23 00:59:27,-38.0023,-57.5575,286.53,86,90,0.45
93,Airai,TL,2021-10-23 00:55:00,-8.9266,125.4092,298.33,43,62,0.7
94,Volksrust,ZA,2021-10-23 00:57:24,-27.3654,29.8818,283.88,44,0,2.05
95,Abbeville,FR,2021-10-23 00:59:28,50.1,1.8333,283.13,77,100,1.51
96,Hualmay,PE,2021-10-23 00:59:28,-11.0964,-77.6139,290.38,83,37,4.72
97,Saint George,US,2021-10-23 00:59:28,37.1041,-113.5841,297.41,17,75,1.33
98,Tabou,CI,2021-10-23 00:59:29,4.423,-7.3528,297.83,90,57,2.92
99,Imbituba,BR,2021-10-23 00:56:46,-28.24,-48.6703,294.16,92,3,4.93
100,Hailey,US,2021-10-23 00:59:19,43.5196,-114.3153,281.43,58,100,4.57
101,Mahebourg,MU,2021-10-23 00:59:29,-20.4081,57.7,295.51,100,75,1.54
102,Pisco,PE,2021-10-23 00:56:56,-13.7,-76.2167,289.27,82,0,8.23
103,Avera,US,2021-10-23 00:56:07,33.194,-82.5271,292.43,55,92,3.19
104,Bengkulu,ID,2021-10-23 00:59:30,-3.8004,102.2655,299.27,80,89,0.68
105,Sakakah,SA,2021-10-23 00:59:31,29.9697,40.2064,293.91,35,0,3.49
106,Geraldton,AU,2021-10-23 00:59:31,-28.7667,114.6,293.38,52,0,4.12
107,Bambous Virieux,MU,2021-10-23 00:59:31,-20.3428,57.7575,295.49,100,75,1.54
108,Athabasca,CA,2021-10-23 00:59:32,54.7169,-113.2854,281.61,46,100,6.37
109,Tiksi,RU,2021-10-23 00:59:32,71.6872,128.8694,257.37,99,100,1.02
110,Victoria,HK,2021-10-23 00:58:22,22.2855,114.1577,293.84,77,88,0.45
111,Albany,US,2021-10-23 00:58:48,42.6001,-73.9662,282.46,77,8,2.48
112,San Carlos De Bariloche,AR,2021-10-23 00:59:03,-41.1456,-71.3082,281.01,57,40,10.29
113,Belyy Yar,RU,2021-10-23 00:59:33,53.6039,91.3903,276.09,75,0,5.0
114,Mampong,GH,2021-10-23 00:59:33,7.0627,-1.4001,294.26,98,84,2.32
115,Umiray,PH,2021-10-23 00:59:33,15.2206,121.4111,301.03,79,100,6.4
116,Zambezi,ZM,2021-10-23 00:59:34,-13.5432,23.1047,293.18,82,65,1.87
117,Kolpashevo,RU,2021-10-23 00:59:34,58.3131,82.9089,274.35,87,100,7.28
