City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Moussoro,TD,82.36,broken clouds,13.6408,16.4901,Hôtel Salama
337,Pasni,PK,77.13,clear sky,25.2631,63.471,Kashmiri Hotal
341,Porto Velho,BR,80.65,few clouds,-8.7619,-63.9039,Hotel Central
353,Japura,ID,81.5,light rain,-0.3167,102.35,Rumah mbah Jamah
359,Bandar-E Lengeh,IR,79.68,clear sky,26.5579,54.8807,کافی نت پارس
360,Santiago Del Estero,AR,81.81,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
363,Carutapera,BR,78.49,clear sky,-1.195,-46.02,Lidera
367,Kalabo,ZM,75.4,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
372,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
387,Gunjur,GM,82.47,overcast clouds,13.2019,-16.7339,"Gunjur, dalabaa lodge"
395,Uruguaiana,BR,76.93,clear sky,-29.7547,-57.0883,Fares Turis Hotel
398,Xapuri,BR,75.9,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
415,General Pico,AR,75.88,broken clouds,-35.6566,-63.7568,Euskadi Hotel
419,Keta,GH,80.82,light rain,5.9179,0.9879,A&Y Wild Camp Ghana
433,Puri,IN,77.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
438,Jalingo,NG,76.21,broken clouds,8.8833,11.3667,Debright Motel
440,Aguada De Pasajeros,CU,77.14,broken clouds,22.385,-80.8508,Soles de Marti
442,Kontagora,NG,75.96,light rain,10.3999,5.4695,Queens Guest Inn
448,Eydhafushi,MV,80.73,overcast clouds,5.1033,73.0708,Soneva Fushi
457,Raypur,IN,80.56,overcast clouds,22.4108,88.5094,Greencloud the club
458,Keti Bandar,PK,77.61,clear sky,24.1447,67.4497,Haji laloo memon house
466,Maragogi,BR,76.03,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
473,Limon,CR,80.29,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
476,Beneditinos,BR,85.33,broken clouds,-5.45,-42.3667,Pousada e Churrascaria Cabo Miguel
478,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
483,Sinnamary,GF,77.81,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
489,Balsas,BR,81.93,scattered clouds,-7.5325,-46.0356,Novo Hotel
490,Dagana,MR,85.68,broken clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
491,Kismayo,SO,78.13,clear sky,-0.3582,42.5454,Agan-Hotel
502,Contamana,PE,75.69,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
503,Thinadhoo,MV,82.45,scattered clouds,0.5333,72.9333,
505,Gwadar,PK,77.23,clear sky,25.1216,62.3254,Sadaf Resort
